Pos	Jugador	Club	Puntos	Categoría	id_fetemba
402	Rosito, Pablo	Tigre TDM	1599	2	1696
403	Arasme, Yamileth	Alvear Club	1599	2	2632
404	Notturno, Nicolas	TMR	1598	2	3750
405	Dorado, Matías	Tigre TDM	1597	2	100
406	Benitez, Eduardo	Ferrocarril Oeste	1595	2	151
407	Medina, Nicolas	Nikkei TDM	1595	2	2264
408	Del Fabro, Franco	Libre	1595	2	3044
409	Vera Ortega, Joaquín	Tigre TDM	1594	2	1679
410	Gutierrez, Marcelo	Circulo Campano	1593	2	112
411	Olmedo, Pablo	Lourdes	1593	2	1049
412	Rodriguez, Diego	El Galpong	1590	2	50
413	Avian, Ignacio	San Lorenzo	1590	2	1985
414	Vigolo, Tomás	Fenix	1587	2	744
415	Garcia, Alan	Intendente Agüero	1582	2	577
416	Loiacono, Joaquin	Alvear Club	1580	2	2738
417	Couso, Manuel	UCA Marash Argentina	1577	2	1556
418	Serra, Ignacio	Fenix	1577	2	3617
419	Galeppi, Leonel	Libre	1575	2	169
420	Guillen Ramirez, Jose A.	Boca Juniors	1575	2	2958
421	Grimoldi, Maximiliano	Nichia Gakuin	1574	2	441
422	Peralta Bello, Tiago	Gimnasty	1574	2	1844
423	Parola, Valentina	Macabi	1573	2	1913
424	Dias, Juan Cruz	Alvear Club	1573	2	3778
425	Vera, Antonio	Libre	1572	2	422
426	Bustillos, Eli	CEDIMA	1570	2	1543
427	Frasson, Gabriel	Libertad	1570	2	2695
428	Solve, Facundo	Circulo Campano	1569	2	1509
429	Zuñiga, Rosaura	Nichia Gakuin	1567	2	1429
430	Carlisi, Nahuel	Social Club TDM	1567	2	2157
431	Mouhamed, Amir Alexander	River Plate	1563	2	601
432	Lovera Arteaga, Crismi Paola	Asoc. Yabrudense	1563	2	1996
433	Avital, Omer	Libre	1562	2	719
434	Kaniuka, Aleksy	CEDIMA	1562	2	1229
435	Nuñez Bouzi, Alvaro	GTM	1561	2	3976
436	Lemos, Ulises	Fenix	1561	2	1276
437	Perez, Julián	Club Italiano JCPaz	1560	2	43
438	Rotryng Alvarez, Facundo	Macabi	1560	2	1467
439	Bernasconi, Felipe	Fenix	1559	2	2246
440	Isura, Joaquin	Inst.Atlet. Cultural	1557	2	3935
441	Bertran, Ezequiel	GTM	1555	2	663
442	Ulloa, Exequiel L.	Estacion Ping Pong	1553	2	4567
443	Rodriguez Bravo, Bryan	Alvear Club	1550	2	4777
444	Mendez, Leonel	Nichia Gakuin	1547	2	544
445	Daventini, Lucas	Lourdes	1547	2	1175
446	Galvan, Gastón	Ferrocarril Oeste	1546	2	260
447	Ledesma, Nicolás	Def. Santos Lugares	1546	2	1198
448	Mallo, Federico Oscar	La Legión TDM	1546	2	2055
449	Ortiz, Carlos N.	Libertad	1546	2	2486
450	Monteforte, Pablo A.	Lourdes	1544	2	2950
451	Valdez, Julián	Libre	1541	2	94
452	Velazquez, Bruno	CEDIMA	1538	2	2180
453	Diaz, Iñaki	Peretz	1533	2	465
454	Pastore, Daniel	Rioja	1533	2	931
455	Fermanelli, Pedro	Lourdes	1533	2	1172
456	Birus, Alexander	Libre	1531	2	940
457	Gerchicov, Daniel	Libre	1530	2	1017
458	Belaustegui, Nicolás	Tigre TDM	1529	2	226
459	Dominguez, Horacio	Alvear Club	1528	2	432
460	Martinelli, Gino	Padilla	1528	2	2308
461	Gonzalez, Aldana	Libre	1527	2	3300
462	Camagna, Diego Andrés	Fenix	1527	2	1952
463	Lussenhoff, Patricio	Ferrocarril Oeste	1526	2	575
464	Nakasone, Claudio	Asoc. Jap. Burzaco	1525	2	220
465	Gajic, Nikola	Ferrocarril Oeste	1524	2	2480
466	Noguera Castellano, Alfredo	Rioja	1522	2	3288
467	Carreira, Lautaro	Libertad	1521	2	1925
468	Cassara, Omar	Spin TDM	1518	2	270
469	Uesugui, Rafael	CAVA	1518	2	914
470	Argume, Robert	Arg Takkyu	1516	2	76
471	Aguirre, Nicolas M	Ferrocarril Oeste	1516	2	2961
472	Ming, de Huang	Top Minc	1515	2	157
473	Buquete, Luis Mariano	El Galpong	1514	2	2675
474	Faig, Germán	Libre	1513	2	883
475	Gallardo, Baltazar	Ferrocarril Oeste	1513	2	4174
476	Molina, Juan Martin	Fenix	1513	2	3524
477	Shokida, Alex	Libre	1512	2	158
478	D' Ignazi, Luciano	Zenit	1512	2	1637
479	Vergez, Federico	Estacion Ping Pong	1511	2	1392
480	Rodriguez, Fernando	Libre	1510	2	1138
481	Andino, Byron	Gimnasty	1509	2	2581
482	Palazzo, Didier	Ateneo de Versailles	1509	2	1921
483	Tomasseo, Gustavo	Libre	1508	2	2014
484	Saisi, Tobias	Tigre TDM	1507	2	3382
485	Salvatierra, Marcelo	TMR	1505	2	1305
486	Trujillo, Jhon Jairo	River Plate	1505	2	1991
487	Carlevarino, Pablo	Ferrocarril Oeste	1503	2	1436
488	Moscato, Alejandro	Intendente Agüero	1503	2	1861
489	Geraci, Ezequiel	Intendente Agüero	1502	2	600
490	Depergola, Mauro	River Plate	1502	2	627
491	Kravetz, Daniel	Estacion Ping Pong	1501	2	1852
492	Romero Anglat, Maria Candela	Inst.Atlet. Cultural	1500	2	3988
493	Makaroff, Fernan	Libre	1500	2	4785
494	Guillen, Juan Pablo	Ferrocarril Oeste	1499	2	56
495	Giri, Sergio	River Plate	1497	2	2419
