pos	id	jugador	club	puntos	categoria
2481	1085	Rosselli, Jonathan                 	Adrogue Sith Spin             	752	5
2482	1565	Gadaleta, Sergio                   	Libre                         	752	5
2483	2001	Vaccher, Matías                    	Libre                         	752	5
2484	2146	Rodriguez, Martin A                	Club Italiano JCPaz           	752	5
2485	4507	Gonzalez Pereira, Angel            	Bar Ping Pong NTE             	752	5
2486	4288	Guia Monzon, Ixchel                	Alvear Club                   	752	5
2487	328	Arnaude, Pablo                     	Lourdes                       	751	5
2488	2047	Colo, Juan                         	Libre                         	751	5
2489	2497	Carabajal, Adrian                  	Studio Ping Pong              	751	5
2490	4766	Rucker, Norman                     	Country Banfield TDM          	751	5
2491	3929	Flores Varela, Juan Manuel         	Asoc. Jap. Burzaco            	751	5
2492	4765	Piris, Leandro                     	Country Banfield TDM          	751	5
2493	3013	Peñate, Tomas N.                   	Tigre TDM                     	750	6
2494	3445	Rando, Julian                      	La Legión TDM                 	750	6
2495	3473	Xu, Yingjun                        	La Legión TDM                 	750	6
2496	3482	Duchak, Marcelo                    	Libertad                      	750	6
2497	3488	Ciaffone, Leandro                  	La Legión TDM                 	750	6
2498	3496	Garay, Alvaro                      	Libre                         	750	6
2499	3506	Romero, Tomas                      	Tigre TDM                     	750	6
2500	3519	Gonzalez, Gustavo Mario            	Nikkei TDM                    	750	6
2501	3527	Tu, Matias I.                      	Nichia Gakuin                 	750	6
2502	3530	Myler, Nicolas                     	Def. Santos Lugares           	750	6
2503	3536	Patrisso, Diego                    	San Lorenzo                   	750	6
2504	3545	Lipartiti, Dario M.                	Atlanta                       	750	6
2505	2966	Chu, Franco E.                     	Comunidad China TdM           	750	6
2506	4558	Medina, Silvio Nicolas             	Ferrocarril Oeste             	750	6
2507	4620	Capria, Fernando                   	GTM                           	750	6
2508	4722	Sanagi, Tsutomu H.                 	Nichia Gakuin                 	750	6
2509	4759	Lopez Carballo, Lauquen            	Padilla                       	750	6
2510	4820	Sajama, Juan                       	Club Italiano JCPaz           	750	6
2511	4533	De Torres, Facundo                 	Bar Ping Pong NTE             	750	6
2512	1309	Ramos, Gustavo                     	Alvear Club                   	749	6
2513	1688	Chicco, Esteban                    	Club Italiano JCPaz           	749	6
2514	1793	Korzin, Gerardo                    	Peretz                        	749	6
2515	1800	Almada, Fernando                   	Adrogue Sith Spin             	749	6
2516	1908	Fernandez Hemida, Andrés           	Libre                         	749	6
2517	1156	Medina, Gastón                     	Libre                         	748	6
2518	1481	Reides, Gabriela                   	Fenix                         	748	6
2519	2367	Gonzalez Nogales, Ariel            	Arg Takkyu                    	748	6
2520	3129	Starkstein, Simon Juan             	Sociedad Hebraica             	748	6
2521	3323	Heredia, Edgardo                   	Tigre TDM                     	748	6
2522	969	Minassian, Andrés                  	Intendente Agüero             	747	6
2523	1932	Tomizaki, Gustavo                  	Ateneo de Versailles          	747	6
2524	3479	Hrvatin, Santino                   	Intendente Agüero             	747	6
2525	3670	Neuendorf, Alberto                 	Peretz                        	747	6
2526	1394	Bravo, Lucas                       	Ingeniero Acosta              	746	6
2527	1069	Chadin, Jonathan                   	Macabi                        	745	6
2528	1242	Lassaque, Andrés                   	CAVA                          	745	6
2529	1671	Juarez, Mariano                    	Def. Santos Lugares           	745	6
2530	2429	Perelsztein, Tomas                 	Nichia Gakuin                 	745	6
2531	2913	Fradkin, Guido                     	River Plate                   	745	6
2532	3404	Cachaza, Bautista                  	Gimnasty                      	745	6
2533	3931	Guillardoy, Agustin                	Circulo Campano               	745	6
2534	4712	Goldesten, Pablo D.                	Lourdes                       	745	6
2535	2953	PaolinI Barroeta, Jose Luis        	Ferrocarril Oeste             	745	6
2536	2589	Chapuis, Maria Jacqueline          	TMR                           	744	6
2537	3144	Blejman, Mariano                   	Fenix                         	744	6
2538	4467	Busetto, Martin                    	La Legión TDM                 	744	6
2539	628	Finkenstein, Gabriel               	San Lorenzo                   	743	6
2540	773	Couselo, Néstor                    	Intendente Agüero             	743	6
2541	1298	Garcia, Mario Daniel               	TMR                           	743	6
2542	1387	Navarro, Roberto                   	Peñarol                       	743	6
2543	1562	Lascaray, Francisco                	Libre                         	743	6
2544	1837	Inciarte, Carlos                   	GTM                           	743	6
2545	2572	Rojas, Sofia                       	Libre                         	743	6
2546	3828	Ramirez, Lucas N.                  	Torre Tanque TDM              	743	6
2547	2813	Martinez, Walter                   	CEDIMA                        	742	6
2548	4566	Casavilca Trujillo, Alessandra     	Fenix                         	742	6
2549	3555	Albus, Francisco                   	Macabi                        	742	6
2550	3450	Garcia, Brian E.                   	Lourdes                       	741	6
2551	4128	Sainz, Leonardo                    	CASA de Padua                 	741	6
2552	3595	Carrillo, Hernan H.                	Asoc. Jap. Burzaco            	741	6
2553	641	Beisso, Alexis                     	Inst.Atlet. Cultural          	740	6
2554	1295	Yamaguchi, Malena                  	Gimnasty                      	740	6
2555	1406	Zuriaga, Gustavo                   	Peñarol                       	740	6
2556	1927	Gavernet, Ricardo                  	Circulo Campano               	740	6
2557	2027	Romero, Gastón Lucas               	Lourdes                       	740	6
2558	1283	Tallarico, Inca                    	Alvear Club                   	739	6
2559	2347	Ricordi Sierra, Diego              	Libre                         	739	6
2560	2672	Bormioli, Guillermo                	Arg Takkyu                    	739	6
2561	2298	Unamuno, Eloy                      	CTDM Nizetich                 	738	6
2562	3518	De Alzaá, Esteban                  	Nikkei TDM                    	738	6
2563	4460	Vildoza, Mateo                     	GTM                           	738	6
2564	3611	Paz, Luciano                       	Asoc. Yabrudense              	737	6
2565	4043	Kina, Hernan                       	Banco Nacion                  	737	6
2566	4306	Sato, L. Ezequiel                  	Gimnasty                      	737	6
2567	179	Sansegundo, Federico               	Country Banfield TDM          	736	6
2568	1499	Artemisi, Santiago                 	Arg Takkyu                    	736	6
2569	1500	Gimenez, Mateo                     	Arg Takkyu                    	736	6
2570	1754	Acosta, Valentín                   	Arg Takkyu                    	736	6
2571	1857	Kramarovsky, Iván                  	Spin TDM                      	736	6
2572	2024	Romanelli, Cristian                	Libre                         	736	6
2573	2446	Espinoza, Jonathan                 	Peretz                        	736	6
2574	2571	Kisnher, Miranda                   	Libre                         	736	6
